"state","county","year","count","total_size","average_cost_per_watt","sum_cost","concat_code","state_code","county_code"
"CA","Merced","2010",205,10065.428,5.9953345819541463,48205353.36,"06047","06","047"
"CA","Mono","2010",64,369.297,5.9593770843703125,2202917.72,"06051","06","051"
"CA","Monterey","2010",282,4721.149,6.7700350157014235,27272593.88,"06053","06","053"
"CA","Napa","2010",492,7652.729,6.6930045337154472,45624040.15,"06055","06","055"
"CA","Nevada","2010",316,3130.834,6.1083117303617089,17856604.66,"06057","06","057"
"CA","Orange","2010",3263,36051.862,8.2333687436538792,230812024.11,"06059","06","059"
"CA","Placer","2010",1209,9858.654,6.8760698197221567,62352144.45,"06061","06","061"
"CA","Plumas","2010",19,119.775,6.8904954619,718907.05,"06063","06","063"
"TX","Orange","2010",1,7.56,6.6654457672,50390.77,"48059","48","059"
"CA","Riverside","2010",2434,23907.58,7.3038531207083852,152974355.71,"06065","06","065"
"CA","Sacramento","2010",983,16556.570290272,7.5443564636114894,50574750.45,"06067","06","067"
"CA","San Benito","2010",74,3146.002,5.7771610935418919,14993152.76,"06069","06","069"
"CA","San Bernardino","2010",1321,23787.854,7.5386705973415326,126293434.1225,"06071","06","071"
"CA","San Diego","2010",5245,46023.70115273,7.1297485502375344,284511923.11886,"06073","06","073"
"CA","San Luis Obispo","2010",629,8199.137865,6.6196528263917329,44830150.7,"06079","06","079"
"CA","San Mateo","2010",871,10047.761622909,7.6010442364297359,69721685.51,"06081","06","081"
"CA","Santa Barbara","2010",487,5298.086,6.4722683731661191,31912210.05,"06083","06","083"
"CA","Santa Clara","2010",2998,47335.41544881,6.633284428364965,294397924.26,"06085","06","085"
"CA","Santa Cruz","2010",527,4096.586,6.3670708343619048,25586360.84,"06087","06","087"
"CA","Shasta","2010",148,2796.105,6.2952902788790541,16667510.18,"06089","06","089"
"CA","Solano","2010",593,10302.944207805,7.2116492543484797,50843814.47,"06095","06","095"
"CA","Sonoma","2010",1724,24485.834,6.414552681562297,136320545.02,"06097","06","097"
"CA","Stanislaus","2010",119,8048.41,6.0697486332630252,39741357.62,"06099","06","099"
"CA","Sutter","2010",162,3852.403,6.3547422478679012,21701005.63,"06101","06","101"
"DC","District of Columbia","2010",214,986.061666,7.0514420449738095,6222132.69,"11001","11","001"
"CA","Tulare","2010",407,13989.578,6.2934331278776413,68004482.65,"06107","06","107"
"CA","Tuolumne","2010",80,590.433,6.28586050671125,3688972.43,"06109","06","109"
"CA","Ventura","2010",765,10466.654,6.8526997295410761,64849385.09,"06111","06","111"
"CT","Windham","2010",26,212.346,6.9399626878423077,1473052.49,"09025","09","025"
"CA","Yolo","2010",213,9182.584,6.7773931956330189,42533615.21,"06113","06","113"
"CA","Yuba","2010",91,546.909,6.6080148255175824,3486154.45,"06115","06","115"
"CO","Adams","2010",12,170.415,5.8042857142857143,284914,"08001","08","001"
"CO","Arapahoe","2010",28,1664.56,5.9,7405858,"08005","08","005"
"CO","Boulder","2010",19,112.385,5.35,95447,"08013","08","013"
"CO","Douglas","2010",7,33.79,,,"08035","08","035"
"CO","Eagle","2010",1,0.45,11.11,5000,"08037","08","037"
"CO","El Paso","2010",1,5.52,3.99,22000,"08041","08","041"
"CO","Gilpin","2010",5,24.51,6.7566666666666667,66764,"08047","08","047"
"CO","Grand","2010",1,3.24,5.12,16600,"08049","08","049"
"CO","Jefferson","2010",32,2331.25,4.4938461538461538,9268136.85,"08059","08","059"
"CO","Larimer","2010",8,10808.92,6.12,15800,"08069","08","069"
"CO","Summit","2010",1,3.6,6.11,22000,"08043","08","043"
"CO","Weld","2010",4,19.27,,,"08123","08","123"
"DE","Kent","2010",62,480.736,6.8565679806756757,2069767.36,"10081","10","081"
"DE","New Castle","2010",221,3676.033,7.6824673474511111,23412512.1,"10003","10","003"
"DE","Sussex","2010",209,1970.655,6.9407382245286713,8954894.31,"10037","10","037"
"FL","Alachua","2010",116,5703.684,5.548006646276,19770864.28,"12001","12","001"
"FL","Baker","2010",1,15000,,,"12001","12","001"
"FL","Bay","2010",2,10.8,6.2611111111,67632,"12017","12","017"
"FL","Brevard","2010",24,11582.11,6.9046235191818182,71648664,"12009","12","009"
"FL","Broward","2010",25,648.434,8.10378032362,5044480.91,"12011","12","011"
"FL","Charlotte","2010",21,212.172,7.5351059043428571,1716030,"12037","12","037"
"FL","Citrus","2010",16,76.348,6.88369597894375,524228,"12017","12","017"
"FL","Clay","2010",2,10.12,7.90756916995,80000,"12021","12","021"
"FL","Collier","2010",19,134.577,6.8255480362842105,914545.75,"12021","12","021"
"FL","Columbia","2010",3,80.2,7.3804761905,31000,"12027","12","027"
"FL","Duval","2010",15,112.74,6.99581233002,691198,"12131","12","131"
"FL","Escambia","2010",4,23.65,7.0989732731,123241.5,"12053","12","053"
"FL","Flagler","2010",13,77.076,6.5798742104692308,507803.7,"12035","12","035"
"FL","Franklin","2010",4,21.44,5.985611273675,128571.4,"12047","12","047"
"FL","Gadsden","2010",7,31.32,6.3725793650857143,183767,"12039","12","039"
"FL","Hendry","2010",3,17.09,6.1740816326666667,104909,"12051","12","051"
"FL","Hernando","2010",10,48.72,6.82945913475,331785.38,"12053","12","053"
"RI","Washington","2010",3,10.61,,,"44023","44","023"
"FL","Highlands","2010",2,12.6,6.98206349205,88000,"12055","12","055"
"FL","Hillsborough","2010",39,216.414,7.0283738653666667,1519834.14,"12011","12","011"
"FL","Indian River","2010",9,4185.18,8.0877733138125,441636.41,"12061","12","061"
"FL","Lake","2010",33,163.636,6.934076037890625,1095016.98,"12065","12","065"
"FL","Lee","2010",39,205.492,6.1669221790794872,1251158.77,"12077","12","077"
"FL","Leon","2010",77,1765.589,9.3938272795766234,19589606,"12073","12","073"
"FL","Levy","2010",2,9.04,7.1,28400,"12075","12","075"
"FL","Manatee","2010",26,311.578,7.2056178477269231,2229113,"12081","12","081"
"FL","Marion","2010",29,189.83,7.3196704428448276,1362235,"12089","12","089"
"FL","Martin","2010",8,27.016,7.570939835575,210460,"12091","12","091"
"FL","Miami-Dade","2010",35,240.71,8.6652562777441176,1988054.66,"12086","12","086"
"FL","Monroe","2010",18,98.025,8.43743187646,602545.89,"12095","12","095"
"FL","Nassau","2010",5,25.98,7.4105973215,192415.7,"12059","12","059"
"FL","Okaloosa","2010",2,10.9,6.41574010655,66371,"12091","12","091"
"FL","Orange","2010",116,810.224,7.0196608530777778,5036119.3,"12059","12","059"
"FL","Osceola","2010",28,141.59,7.0924662720785714,980890,"12097","12","097"
"FL","Palm Beach","2010",38,231.341,7.9485783798394737,1857405.42,"12099","12","099"
"FL","Pasco","2010",16,88.72,7.1516472146375,600449,"12101","12","101"
"FL","Pinellas","2010",57,389.691,7.3409833717301887,2583922,"12103","12","103"
"FL","Polk","2010",15,198.69,6.46179786478,1227600.24,"12095","12","095"
"FL","Putnam","2010",4,13.956,5.031215515125,88366.32,"12079","12","079"
"FL","Santa Rosa","2010",4,16.92,6.855415343925,104370,"12113","12","113"
"FL","Sarasota","2010",40,277.06,7.89668773928,2165614.68,"12115","12","115"
"FL","Seminole","2010",48,311.994,7.2506661128297872,2189059.4,"12133","12","133"
"FL","St. Johns","2010",18,178.382,6.7900919729833333,1159764,"12109","12","109"
"FL","Taylor","2010",4,21.6,6.8451388889,147858,"12091","12","091"
"FL","Volusia","2010",61,302.686,6.8524174699898305,1888511.24,"12127","12","127"
"FL","Walton","2010",1,2.73,8.1593406593,22275,"12297","12","297"
"FL","Washington","2010",3,6.156,7.7575082182666667,47875,"12023","12","023"
"GA","Catoosa","2010",1,1.200000048,,,"13047","13","047"
"GA","Fannin","2010",4,215.00000386,,,"13147","13","147"
"GA","Fayette","2010",1,119,6,,"13057","13","057"
"GA","Floyd","2010",1,5.039999962,,,"13063","13","063"
