"state","county","year","count","total_size","average_cost_per_watt","sum_cost","concat_code","state_code","county_code"
"MA","Suffolk","2012",448,7191.492,4.8770915977578829,37317454.26,"25103","25","103"
"MA","Worcester","2012",1112,66639.697,4.9291023980935305,204831347.6,"25047","25","047"
"MD","Allegany","2012",6,140.45,4.27441615788,141798,"24003","24","003"
"MD","Anne Arundel","2012",264,3782.265,6.5722153468903475,11338017.8,"24003","24","003"
"MD","Baltimore","2012",417,6167.34,5.6563156142836983,16264386.6,"24005","24","005"
"MD","Calvert","2012",24,208.22,5.8030604559916667,1177516.3,"24009","24","009"
"MD","Caroline","2012",12,2272.51,3.9382145657555556,920491.06,"24033","24","033"
"MD","Carroll","2012",132,1975.93,5.5470566691561538,5357777.13,"24015","24","015"
"MD","Cecil","2012",45,907.945,5.5918308119604651,2415164.3,"24015","24","015"
"MD","Charles","2012",66,7311.81,5.9507172026140625,23170159.7,"24017","24","017"
"MD","Dorchester","2012",12,1840.12,4.73756997557,563055.9,"24035","24","035"
"MD","Frederick","2012",86,18646.035,4.9869967514837209,64246009.84,"24069","24","069"
"MD","Garrett","2012",5,43.74,5.46520437848,238050,"24023","24","023"
"MD","Harford","2012",134,3740.485,5.59214764203,4833135.63,"24025","24","025"
"MD","Howard","2012",230,2225.751,5.8544172301991189,10055309.65,"24061","24","061"
"MD","Kent","2012",17,4221.92,4.3207805028,922459.84,"24081","24","081"
"MD","Montgomery","2012",614,4874.305,5.9484431739019608,27823455.98,"24097","24","097"
"MD","Prince George's","2012",219,3433.605,5.797486110337788,11201370.92,"24033","24","033"
"MD","Queen Anne's","2012",48,1682.45,5.5345257308891304,3754016.36,"24035","24","035"
"MD","Somerset","2012",18,1152.54,4.70056639840625,2235020.15,"24035","24","035"
"MD","St. Mary's","2012",35,654.76,4.9060623038176471,1763212.4,"24037","24","037"
"MD","Talbot","2012",20,282.675,4.50459944501,1226796.3,"24041","24","041"
"MD","Washington","2012",52,1017,5.3382498985346939,3585347.1,"24023","24","023"
"MD","Wicomico","2012",14,409.64,4.6869061198214286,1686502,"24045","24","045"
