"state","county","year","count","total_size","average_cost_per_watt","sum_cost","concat_code","state_code","county_code"
"RI","","2009",5,17.65,,,"44","44",
"RI","Newport","2009",3,31.4,,,"44005","44","005"
"RI","Kent","2009",3,49.45,9.09,20000,"44081","44","081"
"LA","Jefferson","2009",3,22.15,8.5766666666666667,,"22059","22","059"
"LA","Lafayette","2009",4,27.13,7.7475,,"22073","22","073"
"CT","","2009",1046,20124.76,8.1080268199233716,155880122.3,"09","09",
"OH","Clinton","2009",1,4,,,"39035","39","035"
"CT","Tolland","2009",51,352.28,8.236403573127451,2869010.61,"09013","09","013"
"PA","Philadelphia","2009",22,84.478,8.0888395955136364,662895.72,"42101","42","101"
"WI","Outagamie","2009",20,123.21,7.13042419164,868839.42,"55087","55","087"
"WI","Ozaukee","2009",13,133.964,9.5681119666461538,1289142,"55089","55","089"
"WI","Pierce","2009",6,23.74,10.22549163545,242696.26,"55093","55","093"
"WI","Polk","2009",2,7.36,7.52851630435,55398.96,"55095","55","095"
"WI","Portage","2009",43,269.492,8.4087552753674419,2133593.19,"55097","55","097"
"WI","Racine","2009",7,59.77,8.8623552369,498239,"55101","55","101"
"WI","Richland","2009",14,62.936,8.2980771516642857,553636.16,"55079","55","079"
"WI","Rock","2009",15,65.62,9.1515998071533333,567692.04,"55105","55","105"
"WI","Sauk","2009",18,90.708,9.5623227020944444,880935.78,"55111","55","111"
"LA","Livingston","2009",4,18.9,8.24,,"22051","22","051"
"LA","Orleans","2009",6,23.87,7.4066666666666667,,"22019","22","019"
"LA","Ouachita","2009",1,19.34,4.24,82000,"22103","22","103"
"RI","Providence","2009",8,284.82,8.98,40500,"44007","44","007"
"LA","Tangipahoa","2009",5,16,9.096,,"22105","22","105"
"LA","St. Helena","2009",1,3.15,8.68,,"22091","22","091"
"LA","Rapides","2009",2,13.2,7.88,,"22079","22","079"
"LA","St. Landry","2009",3,20.5,8.7166666666666667,,"22097","22","097"
"LA","Iberville","2009",2,6.3,8.67,,"22047","22","047"
"LA","East Feliciana","2009",1,3.15,8.68,,"22037","22","037"
"CT","New London","2009",75,1221.5475,7.8925480746786667,9596193.86,"09011","09","011"
"CT","New Haven","2009",86,1761.819,8.0634771621623529,13402363.38,"09009","09","009"
"CT","Litchfield","2009",64,1157.399,8.1204229721142857,8463433.6,"09005","09","005"
"CT","Hartford","2009",79,1962.381,8.1139143842291139,15739743.67,"09005","09","005"
"CA","San Francisco","2009",1125,5628.9344621,8.7391199023160571,44461514.34,"06075","06","075"
"LA","St. Tammany","2009",11,56.06,8.0781818181818182,64000,"22103","22","103"
"LA","East Baton Rouge","2009",18,56.74,9.5838888888888889,,"22033","22","033"
"LA","West Baton Rouge","2009",3,19.8,5.4433333333333333,,"22033","22","033"
"AR","Garland","2009",1,3.64,,,"05051","05","051"
"AR","Johnson","2009",1,5.3,,,"05071","05","071"
