"sfh_qty","th_qty","households","hhincome_below_10k","hhincome_10_below_15k","hhincome_15_below_25k","hhincome_25_below_35k","hhincome_35_below_50k","hhincome_50_below_75k","hhincome_75_below_100k","hhincome_100_below_150k","hhincome_150_below_200k","hhincome_above_200k","avg_rtl_price","dem_share","year_since_1990","count"
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,24.25,15
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,24,9
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,23.75,7
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,23.5,8
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,23.25,9
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,23,3
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,22.75,7
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,22.25,10
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,22,4
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,21.75,3
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,21.25,4
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,21,5
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,20.75,2
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,20.5,3
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,20.25,3
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,20,3
