"state","county","year","count","total_size","average_cost_per_watt","sum_cost","concat_code","state_code","county_code"
"WI","Fond du Lac","2007",5,54,8.50448518518,459478,"55039","55","039"
"WI","Forest","2007",1,1,15,15000,"55041","55","041"
"WI","Grant","2007",2,4.16,8.69984375,36190.7,"55053","55","053"
"WI","Iowa","2007",1,2.72,7.9,21500,"55049","55","049"
"WI","Jackson","2007",2,6.48,8.22750771605,53298.1,"55057","55","057"
"WI","Jefferson","2007",7,47.844,9.2916681923571429,414113.82,"55059","55","059"
"WI","Kenosha","2007",2,21,8.4292857143,177000,"55059","55","059"
"WI","Manitowoc","2007",2,4.552,8.4783589631,38586.02,"55071","55","071"
"VT","Washington","2007",11,27.133,9.4027272727272727,244567.27,"50023","50","023"
"VT","Windham","2007",7,12.31,8.2957142857142857,103331.92,"50025","50","025"
"VT","Windsor","2007",9,30.925,9.0522222222222222,275270.1,"50027","50","027"
"WA","Benton","2007",2,5.526,8.545,47880,"53015","53","015"
"WI","Taylor","2007",2,3.85,8.14954545455,31374,"55091","55","091"
"WI","Milwaukee","2007",28,181.072,9.0982936715142857,1513460.57,"55079","55","079"
"WI","Oconto","2007",2,10.4,7.311875,76063,"55083","55","083"
"WI","Oneida","2007",2,3.622,8.975,32879.22,"55085","55","085"
"WI","Sawyer","2007",4,14.58,12.021559065925,135144,"55113","55","113"
"WI","Sheboygan","2007",2,4.2,7.98943333335,33553.24,"55117","55","117"
"WI","Vernon","2007",2,1.04,10.271375,10683.66,"55123","55","123"
"WI","Vilas","2007",4,13.296,10.960209936375,133307.14,"55125","55","125"
"WI","Walworth","2007",4,13.894,8.70464285715,121174.51,"55127","55","127"
"WI","Washington","2007",6,20.28,9.8303672512166667,196853.28,"55023","55","023"
"WI","Waukesha","2007",7,29.4,8.3116959183857143,235017.86,"55133","55","133"
"WI","Waupaca","2007",2,5.6,10.00825714285,56036.48,"55135","55","135"
"WI","Waushara","2007",10,48.12,10.40244672035,480090.7,"55137","55","137"
"WI","Winnebago","2007",4,13.32,8.31411764705,111204,"55139","55","139"
