"state","county","year","count","total_size","average_cost_per_watt","sum_cost","concat_code","state_code","county_code"
"RI","Newport","2008",11,85.1,,,"44005","44","005"
"RI","Kent","2008",2,4.05,9.76,20000,"44081","44","081"
"LA","Jefferson","2008",3,7.95,9.03,,"22059","22","059"
"LA","Lafayette","2008",2,6.3,9.965,,"22073","22","073"
"CT","","2008",664,15761.4,8.6274698795180723,125476513.92,"09","09",
"CT","Tolland","2008",22,322.76,8.6610657279636364,2621910.72,"09013","09","013"
"PA","Philadelphia","2008",2,8.46,8.40254362615,69860,"42101","42","101"
"WI","Outagamie","2008",15,48.104,9.1432293356,433551.31,"55087","55","087"
"WI","Ozaukee","2008",6,46.24,8.7493985358333333,404649.42,"55089","55","089"
"WI","Pierce","2008",3,9,11.885,78728,"55093","55","093"
"WI","Polk","2008",5,19.92,10.12786833334,203179.74,"55095","55","095"
"WI","Portage","2008",15,96.76,8.7683260843266667,792028.85,"55097","55","097"
"WI","Price","2008",2,3.15,11.57166666665,36456,"55099","55","099"
"WI","Racine","2008",6,104.44,9.0049938561,948713,"55101","55","101"
"WI","Richland","2008",10,72,9.8358537274,717315.82,"55079","55","079"
"WI","Rock","2008",2,7.2,8.5275,61398,"55105","55","105"
"WI","Sauk","2008",19,110.152,9.2183160522684211,1046689.06,"55111","55","111"
"LA","Orleans","2008",12,88.87,8.2545454545454545,80700,"22019","22","019"
"AR","Fulton","2008",1,3.6,,,"05049","05","049"
"RI","Providence","2008",4,59.03,,,"44007","44","007"
"LA","Rapides","2008",3,10.15,8.4633333333333333,,"22079","22","079"
"LA","Iberville","2008",2,63.68,8.71,,"22047","22","047"
"CT","New London","2008",55,452.027,8.3969030089890909,3717532.29,"09011","09","011"
"CT","New Haven","2008",56,2409.735,8.9151682433660714,19938761.55,"09009","09","009"
"CT","Litchfield","2008",37,532.14,8.9044216396567568,4234140.52,"09005","09","005"
"CT","Hartford","2008",48,2491.205,8.4705982284583333,18692798.31,"09005","09","005"
"CA","San Francisco","2008",836,7777.96973877,8.8907509475208383,61143107.41,"06075","06","075"
"LA","St. Tammany","2008",4,12.6,9.2425,,"22103","22","103"
"LA","St. Martin","2008",2,5.55,10.185,,"22099","22","099"
"AR","Madison","2008",1,2.95,,,"05087","05","087"
"AR","Marion","2008",1,2,,,"05089","05","089"
"AR","Pope","2008",1,5.4,,,"05115","05","115"
"AR","Sebastian","2008",1,2,,,"05131","05","131"
"AZ","Apache","2008",6,20.05,9.7057741714333333,156164.78,"04001","04","001"
"AZ","Cochise","2008",7,11.94,8.1811322407714286,102165.5,"04003","04","003"
"AZ","Coconino","2008",42,335.984,8.4527293071780488,2275772.88,"04005","04","005"
"AZ","Gila","2008",9,41.91,8.5033801562333333,357412.12,"04007","04","007"
"AZ","Graham","2008",45,274.187,8.2284439659288889,2251985,"04075","04","075"
"AZ","La Paz","2008",1,2.992,8.7417112299,26155.2,"04012","04","012"
"AZ","Maricopa","2008",840,11097.728,7.2718965968441253,79299475.32,"04013","04","013"
"AZ","Mohave","2008",24,109.536,8.2052543859684211,476773,"04015","04","015"
"AZ","Navajo","2008",13,42.17,10.3412638334,336784.43,"04017","04","017"
"AZ","Pima","2008",133,602.72,7.2532790080550388,3570942.64,"04019","04","019"
"AZ","Pinal","2008",47,283.302,7.336011653727027,1586530,"04021","04","021"
"AZ","Yavapai","2008",87,344.562,9.1934507375686047,2722993.64,"04025","04","025"
"AZ","Yuma","2008",32,967.488,7.43426773619375,6505339.34,"04027","04","027"
"CA","Alameda","2008",1099,17388.91214876,8.195223940884152,143012304.72,"06001","06","001"
"CA","Amador","2008",63,390.248,8.1559307506936508,3193780.82,"06005","06","005"
"CA","Butte","2008",281,8724.589,7.5582605843498182,57539592.39665,"06019","06","019"
"CA","Calaveras","2008",83,700.354,7.8240370938573171,5312369.12,"06009","06","009"
"CA","Colusa","2008",13,124.13,8.1242677411384615,979482.66,"06011","06","011"
"CA","Contra Costa","2008",1591,13916.43857138,8.3487336798011392,97275679.50931,"06013","06","013"
"CA","El Dorado","2008",378,2569.5742,7.9528977710700265,19862825.54,"06017","06","017"
"CA","Fresno","2008",1204,17931.8875167,7.8709752652266555,114738612.27,"06019","06","019"
"CA","Glenn","2008",14,302.476,7.8823096244785714,2276119.23,"06021","06","021"
"CA","Humboldt","2008",89,438.83388,8.7795765153348315,3322431.08,"06023","06","023"
"CA","Imperial","2008",9,658.9,8.8793946977,281655.68,"06025","06","025"
"CA","Inyo","2008",12,1287.356,9.1666343461666667,9408709.03,"06027","06","027"
"CA","Kern","2008",464,6149.94492608,8.0484553940952484,45003720.81,"06029","06","029"
"CA","Kings","2008",120,5169.925,7.5172501716228814,33379002.2,"06031","06","031"
"CA","Lake","2008",89,2558.2408,8.0469656929568182,3653719.44,"06065","06","065"
"CA","Los Angeles","2008",2547,38008.337645,8.4167766584466772,278398371.11,"06037","06","037"
"CT","Fairfield","2008",51,980.176,8.6960233406313725,7618274.99,"09039","09","039"
"AK","Fairbanks North Star","2008",1,3.5,,,"02090","02","090"
"CT","Middlesex","2008",39,838.587,8.3500799448846154,6463854.62,"09023","09","023"
"CA","Madera","2008",119,1146.381,7.6443247474773109,8610675.69,"06039","06","039"
"CA","Marin","2008",702,5016.2348507,7.6888133386138177,39461003.59,"06041","06","041"
"CA","Mariposa","2008",26,192.433,8.3106916154769231,1471424.96,"06043","06","043"
"CA","Mendocino","2008",127,2152.903352,8.1365720278645669,15242688.23,"06045","06","045"
"CA","Merced","2008",83,1416.712,7.8139219471253012,11779603.99,"06047","06","047"
"CA","Mono","2008",27,488.335,7.5744402819740741,3548808.89,"06051","06","051"
"CA","Monterey","2008",151,3162.35848,8.1779704126271523,17444501.15,"06053","06","053"
"CA","Napa","2008",427,8265.2788841,8.0743566976258216,73211363.02,"06055","06","055"
"CA","Nevada","2008",178,1708.0674,8.3485940236516854,11843671.86,"06057","06","057"
"CA","Orange","2008",941,13278.98831598,8.5458207209231668,95115303.35,"06059","06","059"
"CA","Placer","2008",627,3874.8661713,8.084145431497074,28855720.77,"06061","06","061"
"CA","Plumas","2008",17,136.1,7.8874498922235294,1101613.74,"06063","06","063"
"CA","Riverside","2008",1067,24763.4706158,8.2979900787887786,156783453.07,"06065","06","065"
"CA","Sacramento","2008",639,4938.516988798,8.3478887396894737,21951875.24,"06067","06","067"
"CA","San Benito","2008",40,221.286,8.5450770086775,1793714.4,"06069","06","069"
"CA","San Bernardino","2008",633,23820.4419088,8.3177500723344937,136512124.72,"06071","06","071"
"CA","San Diego","2008",2059,25731.234088241,8.180739279702175,188160780.67,"06073","06","073"
"CA","San Luis Obispo","2008",419,8312.92,8.1088120270486874,55618038.35,"06079","06","079"
"CA","San Mateo","2008",719,4411.5657,8.1504688589012517,35729483.66,"06081","06","081"
"CA","Santa Barbara","2008",213,2097.769,8.1597283068370892,15415876.14,"06083","06","083"
"CA","Santa Clara","2008",2163,32418.777653737,8.3338338317171614,261053411.51328,"06085","06","085"
"CA","Santa Cruz","2008",333,2226.741564015,8.404094027073716,17056596.38,"06087","06","087"
"CA","Shasta","2008",87,2591.2400842,8.2419967375367816,17711674.62,"06089","06","089"
"CA","Solano","2008",361,8889.9524396,8.1977504297902778,61416302.41,"06095","06","095"
"CA","Sonoma","2008",759,11319.94390971,8.2336183651649077,80350346.18,"06097","06","097"
"CA","Stanislaus","2008",56,3254.199,7.93606114604,11806706.74,"06099","06","099"
"CA","Sutter","2008",107,1980.9149979,8.0295344817635514,15240408.94,"06101","06","101"
"CA","Tehama","2008",46,328.652,8.0328723054347826,2518066.64,"06103","06","103"
"CA","Tulare","2008",285,7382.4894,7.8182337002126761,44695854.1,"06107","06","107"
"CA","Tuolumne","2008",74,475.32856,8.3218694048945946,3927819.86,"06109","06","109"
"CA","Ventura","2008",445,9323.198232,8.016417322001573,62507424.38,"06111","06","111"
"CT","Windham","2008",26,199.115,8.4563728210423077,1659461.07,"09025","09","025"
"CA","Yolo","2008",144,1817.789,8.2353744078118881,12247535.73,"06113","06","113"
"CA","Yuba","2008",86,443.875,7.9858710500186047,3483512.27,"06115","06","115"
"CO","Adams","2008",26,2091.36,6.51,13073146.32,"08001","08","001"
"CO","Alamosa","2008",1,2.91,9.9,28811.85,"08003","08","003"
