"state","county","year","count","total_size","average_cost_per_watt","sum_cost","concat_code","state_code","county_code"
"RI","","2015",16,110.63,3.9726068749923077,344990.32,"44","44",
"RI","Newport","2015",51,432.95,3.8631305774702128,1541709.52,"44005","44","005"
"RI","Bristol","2015",16,111.525,3.7498395531928571,372344.26,"44005","44","005"
"RI","Kent","2015",16,166.95,4.0317893528083333,494086.49,"44081","44","081"
"CT","","2015",14,112.788,4.3150474187857143,493841.03,"09","09",
"CT","Windham","2015",514,4308.512,4.2268601666945525,17973698.51,"09025","09","025"
"NY","Queens","2015",318,3132.45,4.7272744061509434,13919868.33,"36081","36","081"
"WI","Oneida","2015",2,6.26,5.98054275475,37350,"55085","55","085"
"WI","Outagamie","2015",9,40.89,4.1114404499777778,168593,"55087","55","087"
"WI","Ozaukee","2015",3,24.51,3.6578947368333333,88790,"55089","55","089"
"WI","Pepin","2015",1,4.8,4.015,19272,"55091","55","091"
"WI","Pierce","2015",13,116.35,4.0210890693769231,460078.58,"55093","55","093"
"WI","Polk","2015",4,25.9,4.034066906925,96949,"55095","55","095"
"MD","Baltimore City","2015",3,6,6.8901666666666667,41341,"24510","24","510"
"MA","Nantucket","2015",4,32.868,5.367172858375,175621,"25019","25","019"
"MA","Hampden","2015",1579,41281.5,4.6959676562299428,112159789.01,"25013","25","013"
"MA","Berkshire","2015",368,19199.974,4.3696216645067935,55239444.48,"25003","25","003"
"WI","Portage","2015",21,104.78,3.9168345684428571,376586.23,"55097","55","097"
"WI","Price","2015",2,13.38,3.0238579435,42751.35,"55099","55","099"
"WI","Racine","2015",3,27.78,3.8289797979666667,94429,"55101","55","101"
"WI","Richland","2015",4,22.42,4.205060603375,88251.78,"55079","55","079"
"WI","Rock","2015",5,31.25,3.62931882858,131002,"55105","55","105"
"CT","Tolland","2015",432,3757.997,4.3802692947946636,16216233.53,"09013","09","013"
"CT","New Haven","2015",1716,14284.152,4.3129649899415501,58530075.39,"09009","09","009"
"CT","Litchfield","2015",553,5092.093,4.5638461018869801,21987610.24,"09005","09","005"
"CT","Hartford","2015",2440,21891.959,4.3014376975001641,86854414.2623,"09005","09","005"
"CA","San Francisco","2015",636,4160.0131,5.4871681535429658,6311532.74,"06075","06","075"
"CT","New London","2015",795,7241.4,4.3720614974722013,30290196.99,"09011","09","011"
"RI","Providence","2015",77,993.355,4.0580108054780822,3410909.12,"44007","44","007"
"AZ","Apache","2015",5,32.78,3.3184325038,32413.28,"04001","04","001"
"AZ","Cochise","2015",130,960.342,3.9222308453944444,3327554.89,"04003","04","003"
"AZ","Coconino","2015",88,1044.431,3.7155803472494118,3723431.73,"04005","04","005"
"AZ","Gila","2015",50,749.283,4.0485324593361702,2943127.36,"04007","04","007"
"AZ","La Paz","2015",26,520.853,4.2226085738307692,2731375.48,"04012","04","012"
"AZ","Maricopa","2015",10216,98299.699,4.037332923184237,375335781.25,"04013","04","013"
"AZ","Mohave","2015",432,4368.414,3.87080897961,16541343.25,"04015","04","015"
"AZ","Navajo","2015",32,665.86,3.5134451170032258,3554451.9,"04017","04","017"
"AZ","Pima","2015",3577,26739.062,4.1660956515703922,105390669.02,"04019","04","019"
"AZ","Pinal","2015",1017,8549.424666667,3.9951934219086957,33127853.6,"04021","04","021"
"AZ","Santa Cruz","2015",94,639.86,4.5832554716967742,2872890.76,"04087","04","087"
"AZ","Yavapai","2015",713,4903.433,3.8118750897407989,16984852.02,"04025","04","025"
"AZ","Yuma","2015",724,6245.21,4.1141332789360449,20846365.82,"04027","04","027"
"CA","Alameda","2015",4288,32717.487692386,5.1659585071354055,78318636.18,"06001","06","001"
"CA","Amador","2015",235,1507.3204,3.6653710848861635,3733803.6,"06005","06","005"
"CA","Butte","2015",1818,15451.65822,4.8545439427198208,31284801.4,"06019","06","019"
"CA","Calaveras","2015",323,2193.7897,4.6526161417775956,5509180.84,"06009","06","009"
"CA","Colusa","2015",233,4926.3411,4.7496118691605839,6504102.67,"06011","06","011"
"CA","Contra Costa","2015",6632,44464.054213023,5.0507491344226535,105320902.89,"06013","06","013"
"CA","El Dorado","2015",1690,10148.373597894,4.55856018709625,23251892.94,"06017","06","017"
"CA","Fresno","2015",6516,65977.214491909,4.5877840520542645,103009196.84,"06019","06","019"
"CA","Glenn","2015",179,2319.2828,4.4909707255835294,3158732.8,"06021","06","021"
"CA","Humboldt","2015",161,1154.3764,4.6567771097134831,2444060.78,"06023","06","023"
"CA","Imperial","2015",152,1251.439000004,5.5503223576921875,2604457.63,"06025","06","025"
"CA","Inyo","2015",37,351.178345624,4.8941631009952381,1078196.85,"06027","06","027"
"CA","Kern","2015",6828,57278.365611222,4.8608225665930062,100641547.05,"06029","06","029"
"CA","Kings","2015",1251,34562.222869047,4.8052659346719168,59348788.11,"06031","06","031"
"CA","Lake","2015",220,1855.7698,5.0740642956089888,3200557.85,"06065","06","065"
"CT","Fairfield","2015",1217,10068.035,4.4843934365948191,43813103.26,"09039","09","039"
"CA","Los Angeles","2015",20171,130549.303751002,5.0532687895133867,396614326.35,"06037","06","037"
"CA","Madera","2015",976,11695.7918,4.6884355208495984,22913584.79,"06039","06","039"
"CA","Marin","2015",782,5324.8842,5.0843530606963158,10164446.87,"06041","06","041"
"CA","Mariposa","2015",90,584.5737,5.0066997342083333,1279045.42,"06043","06","043"
"TX","Nueces","2015",4,27.03,3.84917863345,105252.68,"48355","48","355"
"CA","Mendocino","2015",139,1361.5133,4.2006032857115942,1512574.86,"06045","06","045"
"CA","Merced","2015",1353,21794.189331399,4.987398922978399,26735988.32,"06047","06","047"
"CA","Modoc","2015",2,26.32,2.81361350575,74008,"06049","06","049"
"CA","Mono","2015",133,624.534708728,5.0434025550443299,2074154.97,"06051","06","051"
"CA","Monterey","2015",2230,12251.8815,5.3042737334054709,26057424.07,"06053","06","053"
"CA","Napa","2015",857,9151.2611,5.1548975007398496,14012808.34,"06055","06","055"
"CA","Nevada","2015",401,2919.6485,4.7372017652589623,6293877.43,"06057","06","057"
"CA","Orange","2015",10359,69120.638751417,4.7218079632821518,184156465.36,"06059","06","059"
"CA","Placer","2015",3549,760741.551045448,4.4958518689095047,41608121.48,"06061","06","061"
"CA","Plumas","2015",17,80.0435,4.3758627509083333,245084.61,"06063","06","063"
"CA","Riverside","2015",14066,105181.778262512,4.4719586959417402,246682374.76,"06065","06","065"
"CA","Sacramento","2015",3260,21812.081095777,4.886154025665231,91113667.88,"06067","06","067"
"CA","San Benito","2015",383,2071.94314,5.246081823235468,5476141.35,"06069","06","069"
"CA","San Bernardino","2015",11125,76942.261927695,4.6368754652320372,203684513.84,"06071","06","071"
"CA","San Joaquin","2015",4368,38344.19631268,5.1197335790858958,82006402.91,"06077","06","077"
"CA","San Luis Obispo","2015",2334,19289.489137665,4.8460029717375763,35283769.2,"06079","06","079"
"CA","San Mateo","2015",1916,13197.6253,5.2559322976454171,29100316.56,"06081","06","081"
"CA","Santa Barbara","2015",1141,7024.503697061,5.2441979545441221,17597601.84,"06083","06","083"
"CA","Santa Clara","2015",6278,39070.21435917,5.0858665955320467,88822813.67,"06085","06","085"
"CA","Santa Cruz","2015",876,4808.9175,5.0778295674725225,10080298.94,"06087","06","087"
"CA","Shasta","2015",712,6993.5553,4.599477752455814,11183594.39,"06089","06","089"
"CA","Siskiyou","2015",19,201.116,3.4314398290105263,666852.78,"06093","06","093"
"CA","Solano","2015",2901,17358.576659761,5.0541044455928469,34868675.29,"06095","06","095"
"CA","Sonoma","2015",1593,13033.3593,5.2496122930708974,21508309.52,"06097","06","097"
"CA","Stanislaus","2015",632,7156.9062,5.1364404170353116,10774524.12,"06099","06","099"
"CA","Sutter","2015",1174,10214.3143,4.7652003838717949,19844368.89,"06101","06","101"
"CA","Tulare","2015",2960,34632.151692537,4.8195900846080619,82173977.87,"06107","06","107"
"CA","Tuolumne","2015",190,1268.6192,5.000871183097,3138225.11,"06109","06","109"
"DC","District of Columbia","2015",584,3669.423,,,"11001","11","001"
"CA","Ventura","2015",3206,23795.587810304,4.8153223618985915,53066457.03,"06111","06","111"
"CA","Yolo","2015",1372,9387.9326,4.7925153065231164,16473990.99,"06113","06","113"
"CA","Yuba","2015",633,4548.2918,4.8271757454996774,9725956.81,"06115","06","115"
"CO","Larimer","2015",6,1104.35,,,"08069","08","069"
"DE","Kent","2015",100,873.445,4.2021614355377551,3503934.55,"10081","10","081"
"DE","New Castle","2015",584,4503.3525,4.3401320447761062,18052626.56,"10003","10","003"
"DE","Sussex","2015",426,3992.656,4.2526533709699732,14568331.14,"10037","10","037"
"FL","Alachua","2015",26,429.201,3.81235561895,1371125.75,"12001","12","001"
"CT","Middlesex","2015",661,5661.306,4.279328793880938,23489763.58,"09023","09","023"
"FL","Hillsborough","2015",1,9.945,2.85,28365,"12011","12","011"
"FL","Orange","2015",39,441.865,4.2280030289692308,1394400,"12059","12","059"
"FL","Osceola","2015",23,139.87,4.2857698224695652,561231.05,"12097","12","097"
"GA","Bulloch","2015",1,7.6,3.22,24500,"13031","13","031"
"IA","Jefferson","2015",1,7.2,3.22,23213,"19059","19","059"
"IA","Poweshiek","2015",1,11.47,2.81,32264,"19157","19","157"
"IA","Washington","2015",1,10.4,2.95,30685,"19023","19","023"
"IL","Carroll","2015",1,15,3.1333333333,47000,"17015","17","015"
"IL","Clinton","2015",1,9.31,3.9706766917,36967,"17035","17","035"
"IL","Cook","2015",24,226.83,4.5248543196416667,929010.86,"17031","17","031"
"IL","Cumberland","2015",1,5.5,5.5798181818,30689,"17049","17","049"
"IL","DeKalb","2015",1,19.8,2.5606060606,50700,"17049","17","049"
"IL","DuPage","2015",3,23.32,4.5327027547666667,104146,"17043","17","043"
"IL","Hancock","2015",1,11.2,2.7485714286,30784,"17029","17","029"
"IL","Kane","2015",3,23.35,3.9036578883333333,91156,"17025","17","025"
"IL","Lake","2015",4,20.65,5.818149251475,122745.1,"17065","17","065"
"IL","Macoupin","2015",1,7.2,4.26625,30717,"17117","17","117"
"IL","Madison","2015",1,161.2,4.7119789082,759571,"17087","17","087"
"IL","Sangamon","2015",3,11.95,4.3663419913333333,53636,"17167","17","167"
"IL","St. Clair","2015",1,16.2,2.5,40500,"17115","17","115"
"IL","White","2015",5,43.99,3.52441505886,155801.02,"17145","17","145"
"IN","Brown","2015",1,9.66,3.91,37800,"18049","18","049"
"IN","Gibson","2015",1,18.2,3.1,56500,"18053","18","053"
"IN","Monroe","2015",10,58.59,3.155,187243,"18095","18","095"
"IN","Morgan","2015",1,5.04,5.79,29200,"18087","18","087"
"IN","Orange","2015",3,9.69,3.2133333333333333,31504,"18059","18","059"
"IN","Perry","2015",1,9.405,3.19,30000,"18099","18","099"
"IN","Posey","2015",7,83.345,3.1642857142857143,260260,"18129","18","129"
"IN","Spencer","2015",9,78.875,3.0144444444444444,229900,"18215","18","215"
"IN","Vanderburgh","2015",11,82.625,3.5281818181818182,274520,"18163","18","163"
"IN","Warrick","2015",9,94.822,3.0877777777777778,289600,"18173","18","173"
